trial_number,state,stopped_epoch,target_metric,best_val_loss,best_macro_auroc,pretrain_lr,weight_decay,scheduler_patience,scheduler_factor,tabular_hidden_dim,tabular_fusion_dim,tabular_dropout,hidden_dim,num_layers,rnn_dropout,head_dropout
10,PRUNED,15,0.4792658316122519,0.4792658316122519,0.0,0.000362144511345949,2.190697021694581e-05,4,0.4,256,256,0.2,128,1,0.2,0.30000000000000004
11,PRUNED,15,0.4805073552840465,0.4805073552840465,0.0,0.00043448489850171716,0.00010959117890225608,8,0.2,256,512,0.30000000000000004,128,1,0.30000000000000004,0.2
12,COMPLETE,17,0.47887691130509247,0.47887691130509247,0.0,0.00033403847456133363,0.00022733368877195768,6,0.30000000000000004,256,256,0.1,128,1,0.4,0.30000000000000004
13,COMPLETE,17,0.47912671678775065,0.47912671678775065,0.0,0.00036798023652131237,0.0007007390180849631,6,0.2,256,256,0.1,128,1,0.30000000000000004,0.30000000000000004
14,PRUNED,5,0.4947546132512995,0.4947546132512995,0.0,0.00020628905120651395,0.00010198930575885454,5,0.30000000000000004,256,128,0.1,128,1,0.30000000000000004,0.2
15,PRUNED,5,0.4949944438161077,0.4949944438161077,0.0,0.0004525535110006004,0.00012047844951940624,3,0.5,64,128,0.2,128,1,0.30000000000000004,0.30000000000000004
16,PRUNED,5,0.4898873148737727,0.4898873148737727,0.0,0.00036469862153846013,0.00020146195066719124,6,0.4,128,256,0.2,128,1,0.4,0.30000000000000004
17,PRUNED,5,0.4922174883855356,0.4922174883855356,0.0,0.00040220975362692746,3.942976123165656e-05,4,0.30000000000000004,256,512,0.1,128,1,0.4,0.4
18,PRUNED,15,0.47881420802425695,0.47881420802425695,0.0,0.00034969296077634723,1.1576374395786204e-05,6,0.4,64,128,0.30000000000000004,128,1,0.2,0.2
19,PRUNED,5,0.49613565770355433,0.49613565770355433,0.0,0.0001807937899051405,1.4252547084365132e-05,5,0.5,256,128,0.1,128,1,0.2,0.30000000000000004
20,COMPLETE,15,0.4820520096534007,0.4820520096534007,0.0,0.00034003412247267736,0.00026569722588338065,7,0.4,256,256,0.2,256,1,0.4,0.1
21,PRUNED,15,0.47938142596064387,0.47938142596064387,0.0,0.00036546229756331534,4.4258514489717094e-05,7,0.2,256,256,0.1,128,1,0.4,0.30000000000000004
22,COMPLETE,15,0.47804380188117157,0.47804380188117157,0.0,0.00047157906154563157,2.7261869199132617e-05,6,0.2,64,256,0.30000000000000004,128,1,0.30000000000000004,0.30000000000000004
23,COMPLETE,30,0.47437960876000895,0.47437960876000895,0.0,0.00025041638937096076,1.5473506214330462e-05,5,0.2,64,256,0.4,128,1,0.2,0.30000000000000004
24,PRUNED,5,0.4901666375430855,0.4901666375430855,0.0,0.00019364679109018436,2.4166870880809618e-05,6,0.2,64,256,0.4,128,1,0.2,0.2
25,COMPLETE,15,0.475995519676724,0.475995519676724,0.0,0.0004934137276554521,2.496151508868907e-05,6,0.30000000000000004,64,256,0.4,128,1,0.1,0.4
