trial_number,state,stopped_epoch,target_metric,best_val_loss,best_macro_auroc,pretrain_lr,weight_decay,scheduler_patience,scheduler_factor,tabular_hidden_dim,tabular_fusion_dim,tabular_dropout,hidden_dim,num_layers,rnn_dropout,head_dropout,cnn_channels,cnn_kernels,cnn_dropout
36,PRUNED,5,0.48662264604826233,0.48662264604826233,0.0,0.00012088694248477734,4.144062851336981e-05,7,0.5,128,256,0.1,128,1,0.2,0.4,64_128,15_7,0.3
37,PRUNED,15,0.47347996202675074,0.47386619609755437,0.0,0.00023863522418126256,1.5409330945348224e-05,8,0.5,64,256,0.4,128,1,0.4,0.4,64_128,7_5,0.3
38,PRUNED,15,0.47736300326682424,0.4779192998602584,0.0,0.0002293225199303678,0.00010297999764417305,7,0.5,256,512,0.1,128,1,0.2,0.30000000000000004,64_128,15_7,0.2
39,COMPLETE,24,0.47458067536354065,0.4755465122493538,0.0,0.00019517377335954547,4.6723633816860846e-05,4,0.30000000000000004,256,512,0.1,256,1,0.2,0.2,64_128,15_7,0.3
40,PRUNED,15,0.4717086424698701,0.4717086424698701,0.0,0.00020290475623918792,2.6090243857839005e-05,8,0.5,64,512,0.2,128,1,0.30000000000000004,0.4,64_128,15_7,0.2
41,COMPLETE,28,0.46856833873568354,0.46856833873568354,0.0,0.00025309916623881005,9.058168874054443e-05,3,0.4,256,256,0.1,128,1,0.1,0.30000000000000004,64_128,15_7,0.2
42,PRUNED,5,0.48757586688608734,0.48757586688608734,0.0,0.00018535289756988984,5.14867608646249e-05,3,0.4,256,256,0.1,256,1,0.1,0.2,32_64,15_7,0.2
43,COMPLETE,18,0.47037129224957647,0.47037129224957647,0.0,0.0003619046984760879,0.00017099613414454842,3,0.5,256,256,0.1,128,1,0.1,0.30000000000000004,64_128,15_7,0.1
44,COMPLETE,12,0.475654451428233,0.475654451428233,0.0,0.00032332539650920905,5.9643672099345495e-05,5,0.5,256,256,0.1,128,1,0.1,0.30000000000000004,64_128,7_5,0.0
45,COMPLETE,28,0.4683225146822027,0.4683225146822027,0.0,0.00037749523767738585,0.00016154744195718773,3,0.5,256,256,0.30000000000000004,128,1,0.1,0.30000000000000004,64_128,15_7,0.2
46,PRUNED,15,0.4722578412777669,0.4722578412777669,0.0,0.0004465350583822118,0.0007294465474680686,3,0.4,256,256,0.2,128,1,0.1,0.2,64_128,15_7,0.1
47,PRUNED,15,0.47324631504110387,0.47324631504110387,0.0,0.00031197546968306163,6.447216502551095e-05,3,0.5,256,128,0.1,128,1,0.1,0.4,64_128,15_7,0.1
48,PRUNED,5,0.4836979274814193,0.4836979274814193,0.0,0.00037475191013378473,0.00022650714655630968,3,0.5,256,256,0.30000000000000004,256,1,0.2,0.4,64_128,15_7,0.2
49,PRUNED,5,0.4875377086368767,0.4875377086368767,0.0,0.000330839323427047,8.990833762220875e-05,3,0.5,256,512,0.30000000000000004,128,1,0.1,0.30000000000000004,64_128,7_5,0.3
